"unix_timestamp","human_timestamp","nodeID","tc1","tc2","millisSinceHeatPulse"
"1536424211","9/8/2018 16:30:11","9","-0.007813","-0.007813","0"
"1536424214","9/8/2018 16:30:14","9","-0.007813","-0.007813","2999"
"1536424217","9/8/2018 16:30:17","9","-0.007813","-0.007813","6000"
"1536424220","9/8/2018 16:30:20","9","-0.007813","-0.007813","8999"
"1536424223","9/8/2018 16:30:23","9","-0.007813","-0.007813","11999"
"1536424226","9/8/2018 16:30:26","9","-0.007813","-0.007813","14999"
"1536424229","9/8/2018 16:30:29","9","-0.007813","-0.007813","18000"
"1536424708","9/8/2018 16:38:28","9","-0.007813","-0.007813","0"
"1536424711","9/8/2018 16:38:31","9","-0.007813","-0.007813","2999"
"1536424714","9/8/2018 16:38:34","9","-0.007813","-0.007813","6000"
"1536424717","9/8/2018 16:38:37","9","-0.007813","-0.007813","9000"
"1536424720","9/8/2018 16:38:40","9","-0.007813","-0.007813","12000"
"1536424723","9/8/2018 16:38:43","9","-0.007813","-0.007813","14999"
"1536424726","9/8/2018 16:38:46","9","-0.007813","-0.007813","18000"
"1536424729","9/8/2018 16:38:49","9","-0.007813","-0.007813","21000"
"1536424732","9/8/2018 16:38:52","9","-0.007813","-0.007813","23999"
"1536424735","9/8/2018 16:38:55","9","-0.007813","-0.007813","26999"
"1536424738","9/8/2018 16:38:58","9","-0.007813","-0.007813","30000"
"1536424741","9/8/2018 16:39:1","9","-0.007813","-0.007813","32999"
"1536424744","9/8/2018 16:39:4","9","-0.007813","-0.007813","35999"
"1536424747","9/8/2018 16:39:7","9","-0.007813","-0.007813","39000"
"1536424750","9/8/2018 16:39:10","9","-0.007813","-0.007813","42000"
"1536424753","9/8/2018 16:39:13","9","-0.007813","-0.007813","45000"
"1536424756","9/8/2018 16:39:16","9","-0.007813","-0.007813","47999"
"1536424759","9/8/2018 16:39:19","9","-0.007813","-0.007813","51000"
"1536424762","9/8/2018 16:39:22","9","-0.007813","-0.007813","54000"
"1536424765","9/8/2018 16:39:25","9","-0.007813","-0.007813","57000"
"1536424768","9/8/2018 16:39:28","9","-0.007813","-0.007813","60000"
"1536424771","9/8/2018 16:39:31","9","-0.007813","-0.007813","63000"
"1536424774","9/8/2018 16:39:34","9","-0.007813","-0.007813","65999"
"1536424777","9/8/2018 16:39:37","9","-0.007813","-0.007813","69000"
"1536424780","9/8/2018 16:39:40","9","-0.007813","-0.007813","72000"
"1536424783","9/8/2018 16:39:43","9","-0.007813","-0.007813","74999"
"1536424786","9/8/2018 16:39:46","9","-0.007813","-0.007813","77999"
"1536424789","9/8/2018 16:39:49","9","-0.007813","-0.007813","80999"
"1536424792","9/8/2018 16:39:52","9","-0.007813","-0.007813","83999"
"1536424795","9/8/2018 16:39:55","9","-0.007813","-0.007813","86999"
"1536424798","9/8/2018 16:39:58","9","-0.007813","-0.007813","89999"
"1536424801","9/8/2018 16:40:1","9","-0.007813","-0.007813","93000"
"1536424804","9/8/2018 16:40:4","9","-0.007813","-0.007813","96000"
"1536424807","9/8/2018 16:40:7","9","-0.007813","-0.007813","99000"
"1536424810","9/8/2018 16:40:10","9","-0.007813","-0.007813","101999"
"1536424813","9/8/2018 16:40:13","9","-0.007813","-0.007813","105000"
"1536424816","9/8/2018 16:40:16","9","-0.007813","-0.007813","107999"
"1536424819","9/8/2018 16:40:19","9","-0.007813","-0.007813","111000"
"1536424822","9/8/2018 16:40:22","9","-0.007813","-0.007813","114000"
"1536424825","9/8/2018 16:40:25","9","-0.007813","-0.007813","117000"
"1536424828","9/8/2018 16:40:28","9","-0.007813","-0.007813","120000"
"1536424831","9/8/2018 16:40:31","9","-0.007813","-0.007813","123000"
"1536424834","9/8/2018 16:40:34","9","-0.007813","-0.007813","126000"
"1536424837","9/8/2018 16:40:37","9","-0.007813","-0.007813","129000"
"1536424840","9/8/2018 16:40:40","9","-0.007813","-0.007813","132000"
"1536424843","9/8/2018 16:40:43","9","-0.007813","-0.007813","135000"
"1536424846","9/8/2018 16:40:46","9","-0.007813","-0.007813","138000"
"1536424849","9/8/2018 16:40:49","9","-0.007813","-0.007813","140999"
"1536424852","9/8/2018 16:40:52","9","-0.007813","-0.007813","144000"
"1536424855","9/8/2018 16:40:55","9","-0.007813","-0.007813","147000"
"1536424858","9/8/2018 16:40:58","9","-0.007813","-0.007813","150000"
"1536424861","9/8/2018 16:41:1","9","-0.007813","-0.007813","153000"
"1536424864","9/8/2018 16:41:4","9","-0.007813","-0.007813","156000"
"1536424867","9/8/2018 16:41:7","9","-0.007813","-0.007813","159000"
"1536424870","9/8/2018 16:41:10","9","-0.007813","-0.007813","162000"
"1536424873","9/8/2018 16:41:13","9","-0.007813","-0.007813","164999"
"1536424876","9/8/2018 16:41:16","9","-0.007813","-0.007813","167999"
