"unix_timestamp","human_timestamp","nodeID","tc1","tc2","millisSinceHeatPulse"
"1535764370","9/1/2018 1:12:50","5","22.5625","22.72656","0"
"1535764373","9/1/2018 1:12:53","5","22.49219","22.72656","2999"
"1535764376","9/1/2018 1:12:56","5","22.51563","22.72656","6000"
"1535764379","9/1/2018 1:12:59","5","22.52344","22.71094","9000"
"1535764382","9/1/2018 1:13:2","5","22.51563","22.80469","12000"
"1535764385","9/1/2018 1:13:5","5","22.60156","22.74219","14999"
"1535764388","9/1/2018 1:13:8","5","22.53906","22.89844","17999"
"1535764391","9/1/2018 1:13:11","5","22.53906","22.8125","21000"
"1535764394","9/1/2018 1:13:14","5","22.51563","22.78906","24000"
"1535764397","9/1/2018 1:13:17","5","22.53906","22.86719","26999"
"1535764400","9/1/2018 1:13:20","5","22.625","22.78906","29999"
"1535764403","9/1/2018 1:13:23","5","22.60156","22.75781","32999"
"1535764406","9/1/2018 1:13:26","5","22.54688","22.83594","35999"
"1535764409","9/1/2018 1:13:29","5","22.5625","22.86719","38999"
"1535764412","9/1/2018 1:13:32","5","22.60938","22.91406","42000"
"1535764415","9/1/2018 1:13:35","5","22.67188","22.80469","44999"
"1535764418","9/1/2018 1:13:38","5","22.58594","22.8125","48000"
"1535764421","9/1/2018 1:13:41","5","22.625","22.82813","51000"
"1535764424","9/1/2018 1:13:44","5","22.64844","22.82813","54000"
"1535764427","9/1/2018 1:13:47","5","22.60156","22.875","56999"
"1535764430","9/1/2018 1:13:50","5","22.69531","22.85156","59999"
"1535764433","9/1/2018 1:13:53","5","22.625","22.80469","62999"
"1535764436","9/1/2018 1:13:56","5","22.64844","22.83594","66000"
"1535764439","9/1/2018 1:13:59","5","22.60156","22.72656","69000"
"1535764442","9/1/2018 1:14:2","5","22.67188","22.875","72000"
"1535764445","9/1/2018 1:14:5","5","22.64844","22.83594","74999"
"1535764448","9/1/2018 1:14:8","5","22.6875","22.76563","77999"
"1535764451","9/1/2018 1:14:11","5","22.625","22.76563","81000"
"1535764454","9/1/2018 1:14:14","5","22.63281","22.78125","83999"
"1535764457","9/1/2018 1:14:17","5","22.625","22.8125","86999"
"1535764460","9/1/2018 1:14:20","5","22.54688","22.72656","90000"
"1535764463","9/1/2018 1:14:23","5","22.5","22.69531","93000"
"1535764466","9/1/2018 1:14:26","5","22.60156","22.72656","96000"
"1535764469","9/1/2018 1:14:29","5","22.58594","22.71875","99000"
"1535764472","9/1/2018 1:14:32","5","22.5","22.60156","101999"
"1535764475","9/1/2018 1:14:35","5","22.54688","22.6875","104999"
"1535764478","9/1/2018 1:14:38","5","22.58594","22.64844","108000"
"1535764481","9/1/2018 1:14:41","5","22.57813","22.67188","111000"
"1535764484","9/1/2018 1:14:44","5","22.49219","22.69531","113999"
"1535764487","9/1/2018 1:14:47","5","22.53906","22.72656","117000"
"1535764490","9/1/2018 1:14:50","5","22.5625","22.66406","120000"
"1535764493","9/1/2018 1:14:53","5","22.58594","22.69531","122999"
"1535764496","9/1/2018 1:14:56","5","22.5625","22.69531","125999"
"1535764499","9/1/2018 1:14:59","5","22.5625","22.71875","129000"
"1535764502","9/1/2018 1:15:2","5","22.53906","22.69531","132000"
"1535764505","9/1/2018 1:15:5","5","22.53906","22.69531","134999"
