"unix_timestamp","human_timestamp","nodeID","tc1","tc2","millisSinceHeatPulse"
"1535764319","9/1/2018 1:11:59","4","22.21094","22.25","185999"
"1535764322","9/1/2018 1:12:2","4","22.20313","22.17969","189000"
"1535764325","9/1/2018 1:12:5","4","22.28906","22.23438","192000"
"1535764328","9/1/2018 1:12:8","4","22.25781","22.27344","194999"
"1535764331","9/1/2018 1:12:11","4","22.25781","22.21094","198000"
"1535764334","9/1/2018 1:12:14","4","22.1875","22.16406","200999"
"1535764337","9/1/2018 1:12:17","4","22.16406","22.1875","203999"
"1535764340","9/1/2018 1:12:20","4","22.23438","22.28906","207000"
"1535764343","9/1/2018 1:12:23","4","22.17969","22.21094","210000"
"1535764346","9/1/2018 1:12:26","4","22.27344","22.23438","212999"
"1535764349","9/1/2018 1:12:29","4","22.25","22.21094","216000"
"1535764352","9/1/2018 1:12:32","4","22.25","22.23438","219000"
"1535764355","9/1/2018 1:12:35","4","22.23438","22.17969","222000"
"1535764358","9/1/2018 1:12:38","4","22.23438","22.22656","224999"
"1535764361","9/1/2018 1:12:41","4","22.25781","22.25","228000"
"1535764364","9/1/2018 1:12:44","4","22.25","22.21094","231000"
"1535764367","9/1/2018 1:12:47","4","22.32031","22.23438","234000"
"1535764370","9/1/2018 1:12:50","4","22.17969","22.14063","236999"
"1535764373","9/1/2018 1:12:53","4","22.29688","22.15625","240000"
"1535764376","9/1/2018 1:12:56","4","22.21094","22.15625","242999"
"1535764379","9/1/2018 1:12:59","4","22.20313","22.1875","245999"
"1535764382","9/1/2018 1:13:2","4","22.20313","22.21094","248999"
"1535764385","9/1/2018 1:13:5","4","22.20313","22.20313","252000"
"1535764388","9/1/2018 1:13:8","4","22.13281","22.1875","254999"
"1535764391","9/1/2018 1:13:11","4","22.25781","22.15625","257999"
"1535764394","9/1/2018 1:13:14","4","22.1875","22.21094","260999"
"1535764397","9/1/2018 1:13:17","4","22.1875","22.1875","264000"
"1535764400","9/1/2018 1:13:20","4","22.17969","22.17969","266999"
"1535764403","9/1/2018 1:13:23","4","22.22656","22.1875","269999"
"1535764406","9/1/2018 1:13:26","4","22.14063","22.21094","273000"
"1535764409","9/1/2018 1:13:29","4","22.20313","22.22656","276000"
"1535764412","9/1/2018 1:13:32","4","22.1875","22.17969","279000"
"1535764415","9/1/2018 1:13:35","4","22.16406","22.1875","282000"
"1535764418","9/1/2018 1:13:38","4","22.1875","22.10938","285000"
"1535764421","9/1/2018 1:13:41","4","22.20313","22.1875","287999"
"1535764424","9/1/2018 1:13:44","4","22.20313","22.17969","291000"
"1535764427","9/1/2018 1:13:47","4","22.1875","22.10938","293999"
"1535764430","9/1/2018 1:13:50","4","22.21094","22.13281","296999"
"1535764433","9/1/2018 1:13:53","4","22.1875","22.23438","300000"
"1535764436","9/1/2018 1:13:56","4","22.20313","22.20313","303000"
"1535764439","9/1/2018 1:13:59","4","22.20313","22.14063","305999"
"1535764442","9/1/2018 1:14:2","4","22.15625","22.14063","309000"
"1535764445","9/1/2018 1:14:5","4","22.21094","22.09375","311999"
"1535764448","9/1/2018 1:14:8","4","22.15625","22.07031","315000"
"1535764451","9/1/2018 1:14:11","4","22.16406","22.15625","318000"
"1535764454","9/1/2018 1:14:14","4","22.1875","22.16406","321000"
"1535764457","9/1/2018 1:14:17","4","22.16406","22.17969","324000"
"1535764460","9/1/2018 1:14:20","4","22.16406","22.17969","326999"
"1535764463","9/1/2018 1:14:23","4","22.11719","22.16406","329999"
"1535764466","9/1/2018 1:14:26","4","22.21094","22.14063","333000"
"1535764469","9/1/2018 1:14:29","4","22.07813","22.14063","336000"
"1535764472","9/1/2018 1:14:32","4","22.21094","22.16406","338999"
"1535764475","9/1/2018 1:14:35","4","22.13281","22.16406","342000"
"1535764478","9/1/2018 1:14:38","4","22.21094","22.14063","345000"
