unix_timestamp,basetc1,basetc2,meanhr,nodeID
1536105808,28.07031,27.44531,1.0200208744234078,6
1536107608,24.78125,24.109379999999998,1.0287314840468036,6
1536116609,21.765629999999998,21.609379999999998,1.0251798868637323,6
1536118409,21.14844,20.9375,1.0090132432684165,6
1536120209,20.4375,20.24219,1.0093181478180848,6
1536122009,19.796879999999998,19.609379999999998,1.0086528962692283,6
1536131009,17.5,17.3125,1.0101904930122358,6
1536132810,17.17969,17.02344,1.0115577400840348,6
1536127409,18.21875,18.03125,1.0100321489036097,6
1536129209,17.8125,17.61719,1.0090087029170445,6
1536134610,16.875,16.65625,1.010749894577311,6
1536136410,16.640629999999998,16.39844,1.0107790262865202,6
1536192212,29.46094,28.875,1.0111282549311784,6
1536194012,25.703129999999998,24.9375,1.02586270674072,6
1536199412,21.96875,21.765629999999998,1.0258419441914592,6
1536201213,22.47656,22.234379999999998,1.0137717594877855,6
1536203013,21.921879999999998,21.75781,1.0081616900087709,6
1536204813,21.203129999999998,21.05469,1.0077552318403766,6
1536206613,20.609379999999998,20.46875,1.0087016229651486,6
1536208413,20.125,19.90625,1.0094942303738363,6
1536217413,18.44531,18.265629999999998,1.0099145635245823,6
1536219213,18.24219,18.00781,1.0121415695086045,6
1536221013,18.140629999999998,17.9375,1.010885340228632,6
1536222813,18.05469,17.859379999999998,1.0111311822152265,6
1536224614,17.828129999999998,17.65625,1.0103651530629916,6
1536226414,17.53125,17.41406,1.0128309607593995,6
1536278400,28.80469,27.6875,1.0120685331652102,6
1536280416,25.1875,24.484379999999998,1.0349776313337828,6
1536289416,21.16406,21.03906,1.0272205369493472,6
1536291216,20.765629999999998,20.609379999999998,1.007901654466875,6
1536285816,21.296879999999998,20.89844,1.0071128540591776,6
1536287616,21.60156,21.390629999999998,1.0137475266112719,6
1536293017,20.34375,20.17969,1.0061787586066857,6
1536294817,19.875,19.69531,1.0073750975225881,6
1536311017,18.30469,17.97656,1.0102415358428112,6
1536312817,17.9375,17.83594,1.0116806490370216,6
1536321818,18.85156,18.6875,1.0110100252449212,6
1536425518,28.00781,27.14844,1.0244710830826698,6
1536452840,24.53906,24.0625,1.0223647486388867,6
1536454640,24.578129999999998,24.28906,1.0170763532459097,6
1536463641,20.8125,20.67969,1.012744202920628,6
1536465441,20.13281,19.890629999999998,1.0071836064167292,6
1536535644,27.140629999999998,26.46094,1.0400542466841927,6
1536095008,39.30469,36.73438,1.0285610203661502,6
1536096808,41.71875,39.30469,1.0903588929725792,6
1536098608,34.15625,33.15625,1.0455304545402035,6
1536100408,33.32813,32.48438,1.0426629037984247,6
1536091408,41.41406,39.35156,1.0352768260211698,6
1536093208,41.84375,39.625,1.0504886955987227,6
1536102208,32.09375,30.578129999999998,1.05198982992313,6
1536104008,30.171879999999998,29.421879999999998,1.0625004112193135,6
1536109409,23.5,23.078129999999998,1.0254027226004914,6
1536111209,23.17969,22.83594,1.0176355734153784,6
1536113009,22.97656,22.72656,1.0152180857074637,6
1536114809,22.71094,22.421879999999998,1.0111179039915335,6
1536123809,19.203129999999998,18.96875,1.0097986207075171,6
1536125609,18.65625,18.40625,1.0094782199340802,6
1536141810,15.882810000000001,15.765629999999998,1.0114710770601028,6
1536143610,15.679689999999999,15.484379999999998,1.011624374161936,6
1536138210,16.35156,16.140629999999998,1.0141658426268412,6
1536140010,16.13281,15.921879999999998,1.0120205364891552,6
1536145410,15.40625,15.210939999999999,1.0136555601765256,6
1536147210,15.1875,15.007810000000001,1.0126808384223431,6
1536149010,15.007810000000001,14.773439999999999,1.013566567439424,6
1536150810,14.820310000000001,14.6875,1.011986111865602,6
1536152610,14.835939999999999,14.578129999999998,1.0144232591394973,6
1536154410,14.523439999999999,14.328129999999998,1.0132003474124776,6
1536156211,14.773439999999999,14.429689999999999,1.0131781876197414,6
1536158011,16.55469,16.30469,1.018473274370035,6
1536159811,19.27344,18.9375,1.01662251128835,6
1536161611,22.40625,22.00781,1.017588322604985,6
1536163411,26.859379999999998,26.3125,1.0172741858854684,6
1536165211,26.99219,26.265629999999998,1.021195809972843,6
1536167011,35.39844,33.82031,1.0275198722036962,6
1536168811,36.39844,34.1875,1.0224044567896757,6
1536170611,37.22656,34.83594,1.0714144225051376,6
1536172411,33.28125,31.19531,1.0535328938413815,6
1536174211,36.82813,33.53906,1.0475066495922631,6
1536176011,40.5,38.50781,1.10159824508995,6
1536177811,42.875,39.95313,1.087721055636754,6
1536179612,42.1875,39.23438,1.0352787149704537,6
1536181412,42.875,38.95313,1.0741795258842648,6
1536183212,45.54688,41.89844,1.091720808336098,6
1536185012,34.90625,33.53125,1.0886868905382756,6
1536186812,33.16406,31.91406,1.0580487745174039,6
1536188612,34.88281,32.28906,1.0595543493604949,6
1536190412,36.39844,34.4375,1.0654257225140509,6
1536195812,23.65625,23.21094,1.050743491257491,6
1536197612,22.63281,22.38281,1.0211762001541467,6
1536210213,19.796879999999998,19.53125,1.0144690970484125,6
1536212013,19.50781,19.27344,1.009210334177286,6
1536213813,19.078129999999998,18.89844,1.0111238771017228,6
1536215613,18.75,18.66406,1.0112364049730274,6
1536231814,16.61719,16.30469,1.011208711932547,6
1536233614,16.09375,15.875,1.0140189909510893,6
1536228214,17.24219,17.09375,1.0131694212251694,6
1536230014,16.89844,16.640629999999998,1.014109112632928,6
1536235414,15.742189999999999,15.640629999999998,1.0115493112171432,6
1536237214,15.539060000000001,15.359379999999998,1.0136734881124765,6
1536239014,15.359379999999998,15.085939999999999,1.0135137482288856,6
1536240814,15.054689999999999,14.84375,1.0147914399421383,6
